역명,승차총승객수,하차총승객수,일자,등록일자,노선명
곤지암,1450,1539,20300101,20230104,경강선
합정,16903,16841,20300101,20230104,2호선
신촌,19182,18539,20300101,20230104,2호선
이대,6428,7477,20300101,20230104,2호선
아현,4345,4510,20300101,20230104,2호선
신답,599,665,20300101,20230104,2호선
수락산,6031,6076,20300101,20230104,7호선
도봉산,4164,5291,20300101,20230104,7호선
화랑대(서울여대입구),3955,3759,20300101,20230104,6호선
태릉입구,2475,2735,20300101,20230104,6호선
석계,5191,5533,20300101,20230104,6호선
월곡(동덕여대),4304,4588,20300101,20230104,6호선
문래,5995,6567,20300102,20230104,2호선
영등포구청,5629,6117,20300102,20230104,2호선
홍대입구,54612,48205,20300102,20230104,2호선
용답,1476,1570,20300102,20230104,2호선
마들,4959,4825,20300102,20230104,7호선
봉화산(서울의료원),3275,3346,20300102,20230104,6호선
돌곶이,5017,4623,20300102,20230104,6호선
상월곡(한국과학기술연구원),2649,2549,20300102,20230104,6호선
신도림,20210,21037,20300103,20230104,2호선
당산,6821,7594,20300103,20230104,2호선
충정로(경기대입구),2957,3245,20300103,20230104,2호선
신설동,2331,2490,20300103,20230104,2호선
노원,8384,8520,20300103,20230104,7호선
장암,912,580,20300103,20230104,7호선
고려대(종암),3316,3488,20300103,20230104,6호선
안암(고대병원앞),3451,4165,20300103,20230104,6호선
