일자,노선명,역명,승차총승객수,하차총승객수,등록일자
20300101,경강선,곤지암,1450,1539,20230104
20300101,2호선,합정,16903,16841,20230104
20300101,2호선,신촌,19182,18539,20230104
20300101,2호선,이대,6428,7477,20230104
20300101,2호선,아현,4345,4510,20230104
20300101,2호선,신답,599,665,20230104
20300101,7호선,수락산,6031,6076,20230104
20300101,7호선,도봉산,4164,5291,20230104
20300101,6호선,화랑대(서울여대입구),3955,3759,20230104
20300101,6호선,태릉입구,2475,2735,20230104
20300101,6호선,석계,5191,5533,20230104
20300101,6호선,월곡(동덕여대),4304,4588,20230104
20300102,2호선,문래,5995,6567,20230104
20300102,2호선,영등포구청,5629,6117,20230104
20300102,2호선,홍대입구,54612,48205,20230104
20300102,2호선,용답,1476,1570,20230104
20300102,7호선,마들,4959,4825,20230104
20300102,6호선,봉화산(서울의료원),3275,3346,20230104
20300102,6호선,돌곶이,5017,4623,20230104
20300102,6호선,상월곡(한국과학기술연구원),2649,2549,20230104
20300103,2호선,신도림,20210,21037,20230104
20300103,2호선,당산,6821,7594,20230104
20300103,2호선,충정로(경기대입구),2957,3245,20230104
20300103,2호선,신설동,2331,2490,20230104
20300103,7호선,노원,8384,8520,20230104
20300103,7호선,장암,912,580,20230104
20300103,6호선,고려대(종암),3316,3488,20230104
20300103,6호선,안암(고대병원앞),3451,4165,20230104
